variableid,variablecode,variablenamecv
38938,Perfluorooctylsulfonyl fluoride,Perfluorooctanesulfonyl fluoride
38944,Perfluorooctanesulfonyl fluoride,Perfluorooctanesulfonyl fluoride
38951,Perfluorotributylamine,Perfluorotributylamine
38960,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide
38967,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide
38971,"Perfluoro compounds, C5-18","Perfluoro compounds, C5-18"
38974,Perfluoromethyloxirane,Perfluoromethyloxirane
38987,8:2 Fluorotelomer alcohol,8:2 Fluorotelomer alcohol
38994,10:2 Fluorotelomer alcohol,10:2 Fluorotelomer alcohol
39022,PFDoA,Perfluorododecanoic acid
39117,Perfluoroheptanoic acid,Perfluoroheptanoic acid
39175,10:2 Fluorotelomer acrylate,10:2 Fluorotelomer acrylate
39995,8:2 Fluorotelomer iodide,8:2 Fluorotelomer iodide
40002,10:2 Fluorotelomer iodide,10:2 Fluorotelomer iodide
41442,PFHpS,Lithium perfluoroheptanesulfonate
43233,10:1 Fluorotelomer alcohol,10:1 Fluorotelomer alcohol
44995,1-Perfluoropropylethanol,1-Perfluoropropylethanol
45076,4-(Trifluoromethyl)perfluoro-2-pentene,4-(Trifluoromethyl)perfluoro-2-pentene
45220,PFHpA,Ammonium perfluoroheptanoate
45254,HFPO hexamer acid fluoride,HFPO hexamer acid fluoride
47826,POLYFLGSID_882604,POLYFLGSID_882604
48911,"Poly(1,1-difluoroethylene/1,1,3,3,3-pentafluoropropene/tetrafluoroethylene/trifluoromethyl trifluorovinyl ether)","Poly(1,1-difluoroethylene/1,1,3,3,3-pentafluoropropene/tetrafluoroethylene/trifluoromethyl trifluorovinyl ether)"
50709,"10,10-Diethoxy-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorodecane","10,10-Diethoxy-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorodecane"
53544,PFBA,Perfluorobutanoic acid
53545,PFPeA,Perfluoropentanoic acid
53546,PFHxA,Perfluorohexanoic acid
53547,PFOA,Perfluorooctanoic acid
53548,PFNA,Perfluorononanoic acid
53549,PFDA,Perfluorodecanoic acid
53550,PFBS,Perfluorobutanesulfonic acid
53551,PFHxS,Perfluorohexanesulfonate
53552,PFOS,Perfluorooctanesulfonic acid
53553,6:2FTS,6:2 Fluorotelomer sulfonate
53554,NVHOS,"1,1,2,2-tetrafluoro-2-(1,2,2,2-tetrafluoro-ethoxy)ethane sulfonic acid"
53555,Nafion Bp 1,"Perfluoro-3,6-dioxa-4-methyl-7-octene-1-sulfonic acid"
53556,Nafion Bp 2,Perfluoro-2-{[perfluoro-3-(perfluoroethoxy)-2-propanyl]oxy}ethanesulfonic acid
53557,Nafion Bp 4,"2,2,3,3,4,5,5,5-4-(1,1,2,2-tetrafluoro-2-sulfoethoxy)pentanoic acid"
53558,PFMOAA,Difluoro(perfluoromethoxy)acetic acid
53559,PMPA,Perfluoro-2-(perfluoromethoxy)propanoic acid
53560,PEPA,"2,3,3,3-Tetrafluoro-2-(pentafluoroethoxy)propanoic acid"
53561,GenX,Perfluoro-2-methyl-3-oxahexanoic acid
53562,PFO2HxA,"Perﬂuoro-3,5-dioxahexanoic acid"
53563,PFO3OA,"Perfluoro-3,5,7-trioxaoctanoic acid"
53564,PFO4DA,"Perﬂuoro-3,5,7,9-butaoxadecanoic acid"
53565,PFO5DoA,"Perfluoro-3,5,7,9,11-pentaoxadodecanoic acid"
53566,HydroEve,"2,2,3,3-Tetrafluoro-3-{[1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl]oxy}propanoic acid"
53567,10:2 PFS,10:2 Fluorotelomer sulfonic acid
53568,F-53B (Minor),11-chloroeicosafluoro-3-oxanonane-1-sulfonate
53569,4:2 PFS,4:2 Fluorotelomer sulfonic acid
53570,6:2 PFS,6:2 Fluorotelomer sulfonic acid
53571,8:2 PFS,8:2 Fluorotelomer sulfonic acid
53572,F-53B (Major),9-chlorohexadecafluoro-3-oxanonane-1-sulfonate
53573,ADONA,"Dodecafluoro-3H-4,8-dioxanonanoic acid"
53574,N-AP-FHxSA,N-(3-dimethylaminopropan-1-yl)perfluoro-1-hexane-sulfonamide
53575,N-CMAmP-6:2FOSA (6:2 FTAB),"N-(carboxymethyl)-N,N-dimethyl-N-[3-(1H,1H,2H,2H-perfluoro-1-octanesulfonamido)propan-1-yl]ammonium"
53576,N-TAmP-FHxSA,"N-[3-(perfluoro-1-hexanesulfonamido)propan-1-yl]-N,N,N-trimethylammonium"
53577,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic acid
53578,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic acid
53579,PMPA,Perfluoro-2-methoxypropanoic acid
53580,PFBSA,Perfluorobutane sulfonamide
53581,PFDS,Perfluorodecanesulfonic acid
53582,PFDoS,Perfluorododecanesulfonic acid
53583,PFHpS,Perfluoroheptanesulfonic acid
53584,PFHxDA,Perfluorohexadecanoic acid
53585,PFHxSA,Perfluorohexane sulfonamide
53586,PFHxS,Perfluorohexanesulfonic acid
53587,PFNS,Perfluorononanesulfonic acid
53588,PFOSA,Perfluorooctane sulfonamide
53589,PFPeS,Perfluoropentanesulfonic acid
53590,PFTeDA,Perfluorotetradecanoic acid
53591,PFTrDA,Perfluorotridecanoic acid
53592,PFUnDA,Perfluoroundecanoic acid
